id,make,model,year,fuelType1,drive,trany,VClass,cylinders,displ,speeds,drive_number,avgMpg
41286,Jaguar,F-Pace,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 4WD,6.0,3.0,8.0,4,25.31
41287,Jaguar,F-Pace,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Small Sport Utility Vehicle 4WD,8.0,5.0,8.0,4,23.00663
41288,Land Rover,Evoque,2020,Premium Gasoline,All-Wheel Drive,Automatic (S9),Small Sport Utility Vehicle 4WD,4.0,2.0,9.0,4,29.072319999999998
41290,Hyundai,Palisade AWD,2020,Regular Gasoline,All-Wheel Drive,Automatic (S8),Standard Sport Utility Vehicle 4WD,6.0,3.8,8.0,4,27.089999999999996
41297,BMW,230i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,4.0,2.0,8.0,2,35.7863
41309,Toyota,GR Supra,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Two Seaters,6.0,3.0,8.0,2,34.519999999999996
41310,BMW,230i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,4.0,2.0,6.0,2,32.6359
41311,BMW,230i xDrive Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,4.0,2.0,8.0,4,31.74384
41312,BMW,230i Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,4.0,2.0,8.0,2,35.645160000000004
41313,BMW,230i xDrive Convertible,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,4.0,2.0,8.0,4,31.74384
41314,BMW,M240i Coupe M Performance,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,2,32.48935
41315,BMW,M240i Coupe M Performance,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,6.0,3.0,6.0,2,27.87418
41316,BMW,M240i xDrive Coupe M Performance,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,4,32.31067
41317,BMW,M240i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,2,32.48935
41318,BMW,M240i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,6.0,3.0,6.0,2,27.87418
41319,BMW,M240i xDrive Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,4,32.31067
41320,BMW,M240i Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,2,32.48935
41321,BMW,M240i Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,6.0,3.0,6.0,2,27.87418
41322,BMW,M240i xDrive Convertible,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,4,32.31067
41323,BMW,M2 Competition Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,6.0,3.0,6.0,2,25.74435
41324,BMW,M2 Competition Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (AM-S7),Subcompact Cars,6.0,3.0,7.0,2,23.87581
41325,BMW,430i Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,4.0,2.0,8.0,2,35.645160000000004
41326,BMW,430i xDrive Convertible,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,4.0,2.0,8.0,4,33.63465
41327,BMW,440i Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,2,31.797359999999998
41328,BMW,440i xDrive Convertible,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Subcompact Cars,6.0,3.0,8.0,4,29.02077
41329,BMW,M4 Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,6.0,3.0,6.0,2,25.342229999999997
41330,BMW,M4 Convertible,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (AM-S7),Subcompact Cars,6.0,3.0,7.0,2,23.45307
41331,BMW,M4 Convertible Competition,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Subcompact Cars,6.0,3.0,6.0,2,25.342229999999997
41332,BMW,M4 Convertible Competition,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (AM-S7),Subcompact Cars,6.0,3.0,7.0,2,23.45307
41333,Acura,TLX FWD,2020,Premium Gasoline,Front-Wheel Drive,Automatic (AM-S8),Compact Cars,4.0,2.4,8.0,2,35.43487
41334,Acura,TLX FWD A-SPEC,2020,Premium Gasoline,Front-Wheel Drive,Automatic (AM-S8),Compact Cars,4.0,2.4,8.0,2,34.46978
41335,Acura,TLX FWD,2020,Premium Gasoline,Front-Wheel Drive,Automatic (S9),Compact Cars,6.0,3.5,9.0,2,31.048829999999995
41336,Acura,TLX FWD A-SPEC,2020,Premium Gasoline,Front-Wheel Drive,Automatic (S9),Compact Cars,6.0,3.5,9.0,2,30.32
41337,Acura,TLX AWD,2020,Premium Gasoline,All-Wheel Drive,Automatic (S9),Compact Cars,6.0,3.5,9.0,4,29.84621
41338,Acura,TLX AWD A-SPEC,2020,Premium Gasoline,All-Wheel Drive,Automatic (S9),Compact Cars,6.0,3.5,9.0,4,29.55966
41339,BMW,330i,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,2,39.280899999999995
41340,BMW,M340i xDrive,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.0,8.0,4,32.31067
41341,BMW,M340i,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.0,8.0,2,32.48935
41342,BMW,430i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,2,35.645160000000004
41343,BMW,430i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Compact Cars,4.0,2.0,6.0,2,33.290459999999996
41344,BMW,430i xDrive Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,4,31.74384
41345,BMW,430i Gran Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,2,35.645160000000004
41346,BMW,430i xDrive Gran Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,4.0,2.0,8.0,4,31.74384
41347,BMW,440i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.0,8.0,2,32.48935
41348,BMW,440i Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Manual 6-spd,Compact Cars,6.0,3.0,6.0,2,27.87418
41349,BMW,440i xDrive Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.0,8.0,4,32.31067
41350,BMW,440i xDrive Coupe,2020,Premium Gasoline,All-Wheel Drive,Manual 6-spd,Compact Cars,6.0,3.0,6.0,4,27.665809999999997
41351,BMW,440i Gran Coupe,2020,Premium Gasoline,Rear-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.0,8.0,2,32.48935
41352,BMW,440i xDrive Gran Coupe,2020,Premium Gasoline,All-Wheel Drive,Automatic (S8),Compact Cars,6.0,3.0,8.0,4,32.31067
