Vegetable,Form,RetailPrice,RetailPriceUnit,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Legume
Spinach,Frozen,2.133,per pound,0.3748,pounds,1.0302,N
Sweet potatoes,Fresh,1.1198,per pound,0.4409,pounds,0.5599,N
"Tomatoes, grape & cherry",Fresh,4.1458,per pound,0.3748,pounds,1.7075,N
"Tomatoes, roma & plum",Fresh,1.1618,per pound,0.3748,pounds,0.4785,N
"Tomatoes, large round",Fresh,2.3347,per pound,0.3748,pounds,0.9616,N
Tomatoes,Canned,1.0175,per pound,0.5401,pounds,0.5496,N
Turnip greens,Fresh,2.4176,per pound,0.3197,pounds,1.0304,N
Turnip greens,Canned,1.0429,per pound,0.3527,pounds,0.566,N
Turnip greens,Frozen,1.9451,per pound,0.3527,pounds,0.8841,N
Zucchini,Fresh,1.5489,per pound,0.3968,pounds,0.7987,N
