series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Montana,978,868,883,851,788,891,838,967,1044,1103,1072,1025,992,896,968,1081,942,986,1002,1136,1078,1193,1072,996,979,1029,999,959,951,1063,1023,1198,1163,1316,1196,1148,1091,984,1042,990,980,1042,1011,1192,1117,1275,1126,1051,1074,967,1001,1034,909,1027,1138,1122,1172,1212,1206,1147,1127,1126,1149,1142,1026,1059,1060,1310,1397,1412,1397,1201,1168,1157,1107,1200,1069,1202,1255,1349,1398,1605,1340,1265,1333,1194,1148,1051,1048,1253,1170,1333,1191,1470,1302,1277,1339,1004,1043,1129,1010,1201,1255,1349,1293,1411,1279,1290,1285,1171,1122,,,,,,,,,,
Montana Clearances,514,497,478,497,461,484,467,533,542,574,586,494,536,514,582,626,527,561,503,618,553,644,557,516,529,540,607,543,544,625,566,612,683,719,693,627,642,602,596,560,559,591,556,674,583,709,614,597,577,550,576,578,561,571,623,629,688,664,666,666,700,631,650,642,533,615,648,782,719,765,811,659,623,658,669,746,605,766,727,742,817,933,806,725,770,683,680,622,596,768,724,784,691,878,721,734,772,645,688,684,614,721,732,790,748,874,796,792,779,710,729,,,,,,,,,,
