series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
South Carolina,8830,7337,7447,7720,6467,8504,8236,9520,8604,8558,8686,8713,8466,7607,7720,7802,6993,8476,8420,9025,8546,8631,8522,8469,8039,7610,7505,8352,7316,8159,8526,9029,8092,8579,8166,8563,8134,7558,7001,7217,7491,8383,8359,9262,8379,8496,8627,8684,8516,7386,7814,7629,7237,8103,8235,9279,8402,8264,8413,9051,8569,7381,7895,8053,7248,7976,7206,8707,8851,8387,8303,7817,8177,7310,7107,7548,6563,7730,8039,9098,8106,8366,8158,8448,8780,7543,7646,7117,6623,8469,8464,9455,8034,8146,8493,8523,8465,7616,7568,8071,7817,8228,8155,8908,7757,7954,8517,8542,8299,7259,6927,,,,,,,,,,
South Carolina Clearances,4678,3700,3746,4138,3278,4200,4172,4705,4303,4233,4313,4292,4236,3803,3823,3780,3527,3932,4057,4393,4264,4215,4259,4200,3949,3768,3773,4119,3826,4289,4135,4706,4251,4372,4172,4183,4167,3936,3639,3817,3716,4273,4402,4740,4238,4346,4450,4326,4544,3839,3883,4091,3821,4030,4145,4507,4195,4334,4055,4485,4174,3750,3927,4169,3661,4073,3670,4331,4435,4440,4281,3976,4032,3690,3612,3751,3508,4064,4108,4350,4148,4234,4289,4364,4386,3839,3828,3574,3369,4338,4231,4595,4099,4063,4554,4316,4507,3897,4068,4253,3953,4292,4087,4493,4096,3990,4509,4407,4208,3602,3566,,,,,,,,,,
