series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
New Mexico,2290,2035,2024,2375,2204,2422,2404,2621,2382,2527,2588,2340,2331,2248,2266,2395,2263,2386,2470,2767,2675,2649,2669,2558,2592,2228,2205,2603,2301,2408,2634,2826,2714,2900,2852,2793,2809,2421,2202,2861,2741,3138,3284,3498,3255,3061,3278,3058,2906,2833,2743,2930,2717,2983,3080,3193,3065,3389,3604,3127,3271,2842,2577,2936,2797,3087,2933,3327,3445,3444,3616,3007,3103,2539,2525,3104,2888,3074,3123,3472,3526,3566,3504,3489,3443,2664,3201,3113,3147,3220,3518,3647,3415,3764,3683,3707,3439,3162,3165,3272,2854,3260,3408,3602,3546,3607,3746,3510,3394,2988,3166,,,,,,,,,,
New Mexico Clearances,1061,934,971,1081,1100,1078,1100,1137,1080,1028,1113,1087,1016,957,986,1000,940,1026,999,1061,1029,1030,1117,1011,1044,906,928,1093,1047,1134,1225,1280,1242,1283,1217,1178,1197,939,960,1283,1206,1399,1420,1546,1399,1360,1416,1306,1169,1199,1161,1318,1061,1294,1243,1383,1335,1452,1366,1285,1325,1132,1100,1172,1137,1319,1291,1403,1425,1459,1415,1247,1249,1166,1060,1286,1208,1331,1311,1420,1457,1484,1298,1343,1287,1086,1234,1190,1100,1171,1344,1400,1411,1513,1384,1314,1281,1290,1172,1348,1134,1318,1295,1501,1408,1419,1448,1411,1298,1233,1293,,,,,,,,,,
