series,"06-2014","07-2014","08-2014","09-2014","10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
California,34640,35702,35103,35164,34958,31782,32120,33805,31436,36696,34954,36471,36605,38181,38850,37789,37742,32637,33043,34413,33903,35358,36480,39053,37884,39061,38190,37306,37234,34437,34067,35081,32240,37715,36593,39838,38332,40167,39863,38049,39214,35753,35133,36549,33363,36243,37411,40238,38384,40266,40254,38459,38705,34854,36092,34668,31589,36823,36801,38645,38212,40104,40089,38658,38100,33416,34267,35355,34296,34516,31829,35698,36032,36601,38470,36305,37249,32826,33171,4763,4902,6308,6812,8096,7898,8577,8528,8911,9727,9026,9682,35593,34278,39335,38211,40101,39592,40709,42059,41440,41596,35178,36058,39864,33455,38149,39549,41995,39712,42748,43727,42584,45613,36436,37255,,,,,,,,,,
California Clearances,18111,19946,18957,18754,18832,16276,16895,17755,17386,19740,18643,18492,19437,19796,19577,19848,18960,17149,18713,18384,18461,18785,18642,19320,19307,18424,19461,18880,18045,17309,17108,17934,15910,18804,18564,20112,19266,18771,20329,19279,19502,17357,17618,18420,16568,18232,18894,19960,18528,19990,20343,18727,19948,17439,17891,18054,16710,18037,18829,19630,19153,19899,19810,18587,18922,16200,16728,17800,17306,18511,18147,17979,17074,18424,18500,18092,17613,14723,16337,1300,1802,1991,2032,2327,2348,2659,2797,3250,3348,3188,4037,15811,15019,17871,16361,17730,17689,18264,19590,17856,17589,15923,15863,17046,15167,16752,16350,17996,17055,18475,19168,18324,18641,15812,16564,,,,,,,,,,
