series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Florida,0,0,243300,56,44,32,44,38,38251,40,6,23,39,28,246995,0,0,0,0,0,36506,0,0,0,0,0,241158,43,33,29,29,21,29,25,32,20,36,28,275657,0,34,110,0,0,23,20,22,37,0,0,271794,27,33,33,24,22,26,22,29,26,32,35,272066,39,23,150,18,12,556,48,51,33,0,0,263189,5093,4486,4989,5171,5953,5291,5492,6562,6206,6754,5659,6666,8184,7990,8901,8704,8956,8129,8770,9252,9848,10055,9068,94856,9197,8338,9996,9838,10064,8999,9456,9754,9635,10032,8819,56412,,,,,,,,,,
Florida Clearances,0,0,136494,34,40,25,30,30,17424,22,3,16,17,18,135887,0,0,0,0,0,17310,0,0,0,0,0,132993,25,20,16,26,18,21,23,24,19,22,21,150776,0,23,56,0,0,17,11,18,24,0,0,151994,19,17,20,15,17,22,15,19,18,29,25,150642,23,18,96,7,7,354,31,35,26,0,0,141793,2035,1938,2356,2450,2837,2417,2310,2756,2766,2948,2429,2818,3321,3280,3733,3650,3630,3309,3414,3862,4013,4131,3817,41083,3748,3575,4349,4277,4476,3918,4114,4234,4171,4489,3909,25762,,,,,,,,,,
