series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Delaware,1652,1455,1461,1521,1193,1440,1539,1856,1659,1735,1809,1727,1815,1484,1514,1424,1420,1575,1556,1768,1648,1691,1653,1579,1637,1478,1365,1366,1262,1400,1547,1731,1505,1612,1591,1527,1558,1295,1249,1399,1245,1356,1405,1601,1374,1535,1653,1516,1450,1256,1385,1331,1131,1248,1321,1594,1507,1490,1535,1515,1522,1300,1367,1365,1207,1217,1126,1208,1550,1472,1446,1437,1330,1138,1199,1197,1092,1210,1280,1511,1514,1464,1410,1461,1516,1284,1268,1138,1177,1329,1361,1502,1338,1469,1366,1441,1502,1215,1194,1392,1232,1364,1361,1574,1367,1364,1263,1426,1504,1210,1226,,,,,,,,,,
Delaware Clearances,1273,1077,1130,1150,1019,1109,1187,1390,1238,1282,1352,1284,1352,1110,1189,1085,1113,1172,1189,1290,1255,1230,1272,1152,1208,1061,1037,1009,989,1100,1140,1272,1142,1250,1236,1097,1219,1013,948,1119,950,1094,1106,1205,1101,1199,1251,1157,1150,961,1118,1070,924,1030,1150,1218,1187,1192,1219,1233,1235,1017,1033,1129,969,1018,875,958,1139,1127,1095,1047,1020,855,874,947,833,961,1033,1092,1103,1108,1034,1116,1106,989,1011,934,953,1088,1042,1185,1098,1127,1136,1133,1183,964,969,1161,964,1085,1047,1244,1128,1081,1091,1133,1119,980,998,,,,,,,,,,
