series,"10-2014","11-2014","12-2014","01-2015","02-2015","03-2015","04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024"
Michigan,12901,11360,11307,11632,9718,11954,12530,14199,13384,13983,14083,13341,12334,11354,11701,12248,11249,13183,13140,15151,14256,15277,14801,13470,13537,12275,11039,12014,10861,12278,13195,14423,14161,14744,13736,13153,13245,12008,11501,12131,10868,12827,12889,15141,14422,14793,14305,14160,13459,12341,12851,11862,11065,12866,13058,14665,14596,15122,14002,14117,13614,12488,12609,12903,11820,12313,10802,13148,14749,15678,15460,14005,13517,12777,11823,12374,10631,12706,12629,14796,14663,15004,14875,14166,14593,12521,13188,12206,11504,13513,13312,15511,14887,15238,14090,13862,14296,12782,12188,12535,11629,13028,13799,15451,14072,15179,14452,13953,13778,12411,12585,,,,,,,,,,
Michigan Clearances,4409,3992,3938,4214,3702,4159,4274,4817,4819,4958,4872,4575,4214,3937,3965,4226,4183,4782,4999,5430,5421,5459,5661,5177,5071,4765,4417,4667,4191,4754,4886,5391,5484,5568,5645,5174,5521,5017,4973,5200,4582,5390,5335,6081,5912,6179,6054,5754,5688,5331,5348,5908,5343,5509,5817,6523,6185,6513,6150,5944,5890,5772,5748,6109,5514,5490,4784,5621,5796,6151,6601,6021,5877,5258,5144,5327,4968,5709,5428,5839,6342,6502,6542,5750,6287,5674,5946,6114,5521,6400,6081,6565,6534,6343,6482,5833,6094,5640,5532,5948,5252,5871,5701,6387,6156,6191,6372,5912,6217,5726,5645,,,,,,,,,,
