title,budget,revenue,runtime,imdbRating,Month,Age Rating,RT_Rating,,TV Movie,Documentary,Western,Action,Thriller,Crime,Adventure,Drama,Family,Horror,Music,Comedy,Romance,War,Fantasy,Animation,Mystery,History,Science Fiction,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Washington,West Virginia,Wisconsin,Wyoming,Poster_Features
The Super Mario Bros. Movie,1.834718707274859,7.7497573504757264,-0.5831929750287417,0.6383049673732027,04-2023,1.0,0.0886804332415298,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,"[0.0000000e+00 0.0000000e+00 2.0651403e-03 ... 2.1573119e+00 0.0000000e+00
 0.0000000e+00]"
Beau Is Afraid,0.23544158889303832,-0.3911853343737833,3.2054912708606786,0.3396307109874271,04-2023,3.0,0.38973658056666777,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.        0.        0.        ... 2.1758187 0.        0.       ]
Air,1.5886760736776557,0.07293796709639405,0.25384191650496746,1.036537309220904,04-2023,3.0,1.3681690593733664,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.         0.         0.02031373 ... 2.6229084  0.         0.        ]
Renfield,0.9735694896846477,-0.29274642830944997,-0.5831929750287417,0.040956454601651524,04-2023,3.0,0.051048414825887345,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.        0.        0.        ... 2.0209024 0.        0.       ]
To Catch a Killer,-0.6257076286971727,-0.4501937952933039,0.5622231923331761,0.24007262552550132,04-2023,3.0,-0.1371116772523239,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.         0.         0.01249139 ... 1.822984   0.         0.        ]
Mafia Mamma,0.38306716905136023,-0.4279159189725865,-0.2307572312250747,-0.9546244000176011,04-2023,3.0,-1.3413362665528759,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6489.0,1260.0,8431.0,5409.0,39549.0,5973.0,2359.0,1361.0,2187.0,11142.0,1023.0,1456.0,16328.0,6960.0,2903.0,4206.0,3947.0,6322.0,1121.0,7230.0,6230.0,13799.0,4135.0,1755.0,7634.0,1255.0,1426.0,5474.0,1134.0,6358.0,3408.0,28135.0,12186.0,972.0,14142.0,5784.0,3554.0,9778.0,845.0,8155.0,1044.0,12802.0,41292.0,3184.0,343.0,7236.0,1446.0,4272.0,584.0,[0.         0.         0.00324608 ... 2.461717   0.         0.        ]
Transformers: Rise of the Beasts,4.29514504324689,1.9995871254660684,0.9146589361368431,-0.35727588724604986,06-2023,2.0,-0.21237571408360847,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,[0.        0.        0.        ... 2.7619693 0.        0.       ]
No Hard Feelings,0.4814842224902415,0.04835045957328935,-0.09859382729869955,0.040956454601651524,06-2023,3.0,0.5026326358135944,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,"[0.0000000e+00 0.0000000e+00 2.0869314e-03 ... 2.2162218e+00 0.0000000e+00
 0.0000000e+00]"
The Flash,6.755571379218922,1.1645994888648898,1.6635848917196354,0.24007262552550132,06-2023,2.0,0.23920850690409862,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,[0.        0.        0.        ... 2.2369733 0.        0.       ]
Past Lives,-0.33045646838052894,-0.3589815655133047,-0.010484891347782795,1.4347696510686045,06-2023,2.0,1.4434330962046507,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6535.0,1309.0,8002.0,5103.0,39712.0,5875.0,2546.0,1367.0,2402.0,10376.0,879.0,1484.0,17034.0,7163.0,2833.0,4028.0,4045.0,5963.0,1138.0,6765.0,6391.0,14072.0,4423.0,1694.0,7638.0,1293.0,1254.0,5195.0,984.0,7083.0,3546.0,30238.0,11663.0,1078.0,13984.0,5725.0,3793.0,9502.0,854.0,7757.0,1172.0,12214.0,39361.0,3144.0,319.0,7810.0,1377.0,4038.0,518.0,[0.         0.         0.00248965 ... 1.906297   0.         0.        ]
