title,release_date,original_language,genres,budget,revenue,runtime,year,Rated,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID
A View to a Kill,1985-05-24,en,Adventure-Action-Thriller,30000000.0,152427960.0,131.0,1985.0,PG,posters/A_View_to_a_Kill_1985_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '37%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40.0,6.3,"106,156",tt0090264
Immortals,2011-11-10,en,Fantasy-Action-Drama,75000000.0,226904017.0,110.0,2011.0,R,posters/Immortals_2011_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,6.0,"178,014",tt1253864
Salt,2010-07-21,en,Action-Mystery-Thriller,110000000.0,293329073.0,100.0,2010.0,PG-13,posters/Salt_2010_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65.0,6.5,"333,331",tt0944835
Hostel: Part II,2007-06-07,en,Horror,10200000.0,35728183.0,93.0,2007.0,R,posters/Hostel:_Part_II_2007_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46.0,5.5,"97,439",tt0498353
All Fun and Games,2023-08-30,en,Horror-Thriller,0.0,165485.0,77.0,2023.0,,posters/All_Fun_and_Games_2023_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",,4.3,"3,132",tt10092698
Cranston Academy: Monster Zone,2020-04-29,en,Adventure-Science Fiction-Animation-Fantasy-Horror,0.0,641308.0,80.0,2020.0,,,,,,,
A Question of Faith,2017-09-29,en,Drama,0.0,2587072.0,104.0,2017.0,PG,posters/A_Question_of_Faith_2017_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}]",,6.0,"1,204",tt6054650
Tracers,2015-01-15,en,Action,11000000.0,593683.0,94.0,2015.0,PG-13,posters/Tracers_2015_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '24%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45.0,5.6,"20,279",tt2401097
My Old Lady,2014-09-09,en,Romance-Comedy-Drama,5000000.0,7527232.0,107.0,2014.0,PG-13,posters/My_Old_Lady_2014_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52.0,6.4,"10,227",tt2908856
Ouija,2014-10-24,en,Horror,5000000.0,103590271.0,89.0,2014.0,PG-13,posters/Ouija_2014_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",38.0,4.5,"58,548",tt1204977
Hard Target,1993-08-20,en,Action,18000000.0,74189677.0,97.0,1993.0,NC-17,posters/Hard_Target_1993_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63.0,6.2,"57,476",tt0107076
A Beautiful Mind,2001-12-11,en,Drama-Romance,60000000.0,313542341.0,135.0,2001.0,PG-13,posters/A_Beautiful_Mind_2001_photo.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72.0,8.2,"999,255",tt0268978
