Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
05-2016,11112,1421,8583,5690,39053,4801,3284,1768,2400,0,12734,1406,1511,5276,6561,2724,3347,4083,7910,1076,8137,7115,15151,4013,2374,8265,1136,2111,5384,1519,6905,2767,14063,11534,910,14732,4739,3155,10968,1023,9025,1159,14011,39016,3015,295,3015,7495,1701,3973,581
06-2016,10092,1321,8397,5427,37884,4991,3065,1648,2479,36506,11540,1210,1479,5102,6289,2706,4497,3905,7121,1010,7200,7127,14256,3825,2133,8144,1078,2060,4793,1325,6913,2675,14148,10633,863,14487,4558,3010,10713,988,8546,1068,13149,36460,2807,258,2807,7192,1679,3719,521
07-2016,10300,1458,8456,5367,39061,5067,3107,1691,2254,0,12077,1257,1562,5699,6610,2754,3385,3815,7082,1163,6837,7326,15277,3961,2291,8134,1193,2144,4944,1315,6771,2649,14561,10511,871,14884,4586,3195,10385,1012,8631,1190,13254,37318,3128,347,3128,7570,1675,3999,546
08-2016,9924,1494,8398,5172,38190,4919,3172,1653,2120,0,12164,1403,1588,5794,6267,2703,3459,4024,6860,1106,7122,6930,14801,3786,2197,7971,1072,2151,5021,1369,6600,2669,14198,9390,936,14666,4787,3255,10610,927,8522,1136,13806,35761,2829,335,2829,7430,1701,3797,563
09-2016,10174,1427,8380,5317,37306,4902,2942,1579,2228,0,11775,1322,1374,5255,6043,2853,4678,3873,6869,884,7529,6488,13470,3520,2137,7724,996,2203,5192,1407,6611,2558,13266,10295,918,14157,4463,3054,10356,907,8469,1125,13590,37000,2955,262,2955,7072,1540,3792,533
10-2016,9993,1234,8890,5283,37234,4927,2973,1637,2332,0,11841,1364,1392,5401,5782,2680,3282,3829,7202,855,7373,6618,13537,3740,2082,7656,979,2173,5036,1351,6616,2592,13136,10149,958,13832,4824,3054,10565,943,8039,1113,13704,37331,2902,278,2902,7229,1432,3878,553
11-2016,8283,1253,7887,4719,34437,4260,2686,1478,1924,0,10689,1189,1207,4814,5226,2298,2833,3500,6622,855,6749,6070,12275,3433,2028,6966,1029,1759,4494,1112,6087,2228,12212,9079,758,12554,4006,2828,10019,788,7610,939,11834,33708,2523,241,2523,6873,1302,3465,464
12-2016,8549,1331,8162,4557,34067,4248,2739,1365,1976,241158,10948,1217,1238,4306,4888,2153,3964,3427,6735,827,6932,5847,11039,3200,1806,6638,999,1725,4570,1144,5759,2205,11937,7973,765,11359,3989,2657,8957,783,7505,1002,11918,34025,2565,229,2565,6666,1299,3390,449
01-2017,8601,1360,8532,5010,35081,5114,2777,1366,1928,43,9593,1210,1347,4843,6290,2461,3180,3747,6935,858,7219,5930,12014,3500,2009,6996,959,1875,4960,1250,5649,2603,12210,10065,934,13293,4311,3084,9918,817,8352,1012,12950,35627,2603,301,2603,6920,1520,3838,484
02-2017,8056,1188,7778,4413,32240,4343,2336,1262,1717,33,8422,1125,1257,4012,4808,2398,3005,3414,6530,768,6638,5200,10861,3116,1772,6345,951,1718,4373,1107,4922,2301,10537,8505,724,11601,3864,2824,8987,693,7316,970,11261,32995,2473,273,2473,6090,1304,3247,514
03-2017,9285,1244,9138,4817,37715,4836,2686,1400,1781,29,10141,1298,1367,4198,5253,2433,4378,3719,7007,867,7109,5741,12278,3434,1990,7177,1063,1905,4928,1309,5368,2408,11597,9896,774,12705,4452,3202,9667,788,8159,1047,12641,36552,2777,280,2777,7404,1343,3720,622
04-2017,10165,1337,9485,5291,36593,5166,2948,1547,2036,29,10099,1300,1503,4951,5866,2663,3284,4050,7303,868,7488,6262,13195,3707,2200,7204,1023,2000,5179,1328,5909,2634,12063,10200,824,14549,4649,3158,10177,962,8526,1139,13933,37663,2656,327,2656,7216,1518,3900,521
05-2017,10255,1371,9621,5573,39838,5437,3251,1731,2084,21,10126,1376,1503,5263,6491,2790,3812,4285,7224,1033,7920,6740,14423,3873,2191,8102,1198,2191,5718,1595,6421,2826,13584,11095,864,15171,4759,3503,10782,1014,9029,1166,14696,40176,2938,357,2938,8361,1545,4304,616
06-2017,9456,1377,9002,5333,38332,5277,3198,1505,1985,29,9884,1168,1448,5344,6124,2688,4996,3878,6764,1078,7504,6660,14161,3839,1999,7740,1163,1970,5064,1371,6606,2714,13581,9849,840,15185,4553,3361,10717,1061,8092,1030,13700,36753,2923,321,2923,7617,1461,4138,543
07-2017,9943,1510,9287,5338,40167,5581,3391,1612,2088,25,10409,1271,1674,5485,6541,3039,3454,4064,6901,1227,7462,6858,14744,3855,1983,7842,1316,2078,5140,1422,6579,2900,13906,10265,967,15657,4661,3551,10414,980,8579,1159,14120,37957,3160,419,3160,7659,1453,4556,597
08-2017,9751,1413,9698,5261,39863,5308,3268,1591,1936,32,9640,1305,1683,5400,6181,2669,3168,4040,7081,1052,7157,6661,13736,3743,2009,7841,1196,2141,5459,1391,6376,2852,13290,10236,939,14834,4767,3402,10192,927,8166,1137,13918,36007,2960,333,2960,7414,1612,3980,613
09-2017,8539,1436,9370,5150,38049,5329,3181,1527,2099,20,9642,1308,1570,5224,6007,2811,4737,3971,6992,1003,7367,6690,13153,3924,1900,7946,1148,1764,5504,1391,6445,2793,12989,9894,902,14654,4642,3362,10362,1010,8563,1129,13448,36616,2861,359,2861,7056,1576,4255,552
10-2017,8579,1336,9709,5119,39214,5042,3233,1558,2086,36,10052,1337,1451,5190,5821,2829,3388,3940,7119,1025,7703,6750,13245,3791,1844,7589,1091,2142,5532,1397,6358,2809,13035,10445,955,14660,4601,3400,10797,975,8134,1046,13339,36998,2891,361,2891,7391,1440,4054,560
11-2017,7550,1307,8959,4773,35753,4862,2860,1295,1836,28,8726,1314,1360,5047,5436,2422,3167,3694,6701,846,6800,6060,12008,3478,1740,6932,984,1574,4712,1359,5565,2421,11460,8897,785,12995,4304,3026,9463,893,7558,936,11917,35245,2699,256,2699,6904,1280,3952,498
12-2017,7205,1515,8958,4472,35133,4714,2863,1249,1773,275657,8185,1233,1404,4416,4830,2373,4445,3328,6356,906,6984,6034,11501,3229,1672,6636,1042,1668,4987,1184,5417,2202,11225,8397,750,11989,4065,3158,9208,820,7001,935,11584,34361,2592,309,2592,6666,1196,3689,494
01-2018,8075,1409,8617,4734,36549,5351,2848,1399,1765,0,10427,1077,1421,4306,5181,2330,3290,3717,6277,896,6746,5889,12131,3589,1684,6663,990,1804,4900,1323,5449,2861,11395,9582,856,12593,4282,3456,9520,756,7217,960,11548,33914,2805,338,2805,7286,1210,3852,519
02-2018,8009,1140,7989,4461,33363,4575,2492,1245,1598,34,9716,1270,1323,3552,4768,2033,3100,3367,6449,928,6155,5347,10868,3345,1600,5868,980,1638,4889,1217,4892,2741,10444,9197,760,11888,3986,3120,8979,836,7491,867,11312,33052,2384,305,2384,6590,1126,3456,439
03-2018,8688,1422,9017,5212,36243,5225,2856,1356,1857,110,9777,1361,1481,4274,5585,2542,4777,3828,7180,946,6844,6176,12827,3573,1809,6859,1042,1911,5197,1321,5429,3138,11866,9656,833,13336,4471,3429,9562,859,8383,985,13037,37280,2816,297,2816,7453,1259,3947,490
04-2018,8361,1292,9521,5407,37411,5251,2969,1405,2053,0,10150,1398,1494,4359,5415,2491,3553,3630,7082,1015,7287,5815,12889,3584,1886,7070,1011,1957,5243,1311,5468,3284,11569,10084,850,13941,4442,3382,10022,838,8359,1027,12706,37624,2679,247,2679,7150,1266,3585,355
05-2018,10174,1417,9825,5899,40238,5633,3315,1601,2044,0,11439,1518,1721,5315,6560,2388,3815,4213,7806,1078,7905,6989,15141,4212,2083,7903,1192,2338,6022,1569,6424,3498,13746,11670,1052,16184,5097,3842,10932,1088,9262,1214,14408,40700,2908,294,2908,8448,1385,4188,502
06-2018,9195,1386,9055,5359,38384,5468,3117,1374,2033,23,10455,1363,1559,5050,5961,2102,4879,3899,6930,1013,7190,6728,14422,3718,1762,7491,1117,2110,5386,1434,6145,3255,13140,9785,956,14612,4687,3461,10163,946,8379,1184,13241,37430,2811,406,2811,7720,1158,3872,491
07-2018,9727,1544,9336,5381,40266,5741,3109,1535,2047,20,11333,1368,1662,5364,6462,2099,3416,3690,7128,1229,7110,6861,14793,3755,1717,7633,1275,2166,5655,1443,6194,3061,13863,10560,1048,15781,4915,3736,10444,1044,8496,999,13697,37426,2956,375,2956,7974,1075,4158,492
08-2018,9411,1501,9261,5565,40254,5700,3159,1653,2099,22,11325,1302,1647,5279,6380,1962,3477,4099,7124,1116,7144,6256,14305,3687,1783,7792,1126,2140,5610,1392,6127,3278,13235,10327,909,15707,5126,3690,10020,932,8627,1239,13713,37963,2882,409,2882,7770,1245,4041,496
