Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
12-2021,1975,311,1951,1785,4037,2722,1647,1011,704,2818,3190,584,811,3378,2460,1448,1691,1693,2478,541,1347,2436,5946,2011,549,3010,680,614,2302,551,1830,1234,1397,5508,437,3854,1385,1504,3130,394,3828,611,5568,14066,1396,194,1396,3210,538,2428,206
01-2022,2077,674,3371,1851,15811,2945,1544,934,622,3321,3359,646,803,3484,2523,1118,1482,1160,2168,516,1970,2373,6114,1839,571,2742,622,1041,2353,520,2042,1190,3117,4870,447,3955,1438,1615,2941,382,3574,648,5374,13660,1490,205,1490,3213,579,2369,222
02-2022,2029,688,3246,1668,15019,2663,1679,953,639,3280,3586,493,750,3595,2311,1065,1498,974,2308,489,1983,2253,5521,1783,533,2516,596,941,2299,525,2039,1100,2997,5180,370,3847,1259,1438,3217,380,3369,601,5087,12971,1373,200,1373,3024,456,2246,177
03-2022,2348,699,3652,1963,17871,3014,1809,1088,684,3733,3913,558,903,4135,2567,1282,1698,1693,2547,558,2166,2589,6400,1935,632,3161,768,1048,2632,500,2494,1171,3462,6128,464,4404,1534,1803,4912,459,4338,666,5342,15059,1571,242,1571,3573,583,2560,318
04-2022,2448,740,3592,2068,16361,3146,1677,1042,681,3650,3643,553,844,4154,2463,1183,1675,1812,2552,518,2012,2495,6081,1947,672,2908,724,1160,2511,570,2449,1344,3358,5634,458,4594,1539,1628,5083,388,4231,577,4865,15393,1519,202,1519,3200,602,2546,218
05-2022,2610,704,3656,2211,17730,3398,1818,1185,826,3630,4113,557,896,4743,2808,1474,1805,1842,2709,623,2255,2802,6565,2158,675,3434,784,1194,2731,572,2859,1400,3607,6047,569,5049,1732,1773,5314,496,4595,731,5612,16269,1653,286,1653,3376,620,2963,195
06-2022,2493,711,3373,1996,17689,3148,1910,1098,760,3309,3549,498,816,4462,2718,1343,1843,1831,2374,674,2176,2824,6534,2026,563,2965,691,1037,2577,590,2753,1411,3850,5399,514,4810,1682,1798,5188,423,4099,658,5252,14492,1523,253,1523,3444,582,2719,227
07-2022,2553,759,3540,2097,18264,3398,1803,1127,830,3414,3547,482,841,4492,2725,1379,1878,2034,2357,651,2124,3028,6343,2193,534,2977,878,1140,2648,623,2833,1513,3935,5336,499,4767,1658,1880,5132,478,4063,746,5242,15013,1834,268,1834,3878,566,2809,222
08-2022,2817,675,3698,2028,19590,3269,1777,1136,879,3862,3933,608,878,4817,2778,1478,1910,1886,2581,612,2136,2823,6482,1971,557,3049,721,1336,2677,638,2735,1384,3791,4973,507,4893,1835,1833,4821,446,4554,716,5613,14791,1786,273,1786,3475,587,2672,234
09-2022,2620,767,3505,1976,17856,3376,1619,1133,785,4013,3853,584,953,4640,2694,1435,1921,2017,2670,629,2379,2710,5833,2132,543,3102,734,1204,2563,505,2504,1314,3392,5030,510,4486,1760,1780,4118,404,4316,669,5318,15321,1806,226,1806,3255,539,2554,237
10-2022,2730,744,3359,1940,17589,3230,1647,1183,820,4131,3644,511,888,4320,2500,1379,1945,1920,2627,605,2205,2753,6094,2035,526,2971,772,1154,2646,512,2752,1281,3432,5043,541,4567,1591,1707,4401,473,4507,610,4968,14940,1717,282,1717,3412,561,2664,208
11-2022,2453,683,2934,1738,15923,3089,1622,964,890,3817,3294,471,686,3914,2492,1281,1679,1751,2297,549,2050,2693,5640,1889,440,2738,645,1043,2270,536,2497,1290,3296,4553,408,4188,1325,1455,3922,415,3897,642,4632,13372,1505,216,1505,2984,556,2495,216
12-2022,2447,637,3118,1858,15863,3073,1570,969,859,41083,3319,479,847,4253,2369,1291,1656,1813,2236,540,1802,2541,5532,1904,511,2775,688,941,2485,554,2501,1172,3133,4476,509,4069,1399,1603,4018,386,4068,602,4759,13711,1616,245,1616,2968,524,2564,233
01-2023,2870,679,3186,1935,17046,3239,1658,1161,906,3748,3698,429,993,4223,2722,1453,1730,2098,2604,586,2001,2731,5948,2034,496,3029,684,660,2614,513,2823,1348,10255,4850,467,4423,1491,1625,4589,423,4253,644,5309,14806,1649,219,1649,3388,557,2591,287
02-2023,2293,588,2972,1736,15167,2760,1455,964,812,3575,3432,398,1026,3617,2374,1276,1471,1820,2253,473,1971,2321,5252,1727,475,2818,614,647,2354,465,2488,1134,9202,4619,440,4124,1348,1546,3843,371,3953,562,4782,13655,1471,189,1471,2917,456,2301,232
03-2023,2623,644,3268,2101,16752,3274,1706,1085,907,4349,3765,470,1118,4059,2700,1341,1721,1721,2577,566,2349,2551,5871,1851,547,3010,721,717,2613,461,2649,1318,10224,5286,486,4555,1646,1652,5413,456,4292,680,5231,15164,1619,250,1619,3287,615,2600,298
04-2023,2528,697,3405,2010,16350,3180,1471,1047,850,4277,3517,419,939,4313,2811,1430,1747,1583,2451,559,2169,2757,5701,1921,551,3148,732,721,2712,482,2740,1295,10555,4927,489,4497,1654,1674,5254,483,4087,581,5345,15444,1687,275,1687,3240,574,2598,294
05-2023,2556,780,3827,2030,17996,3404,1702,1244,972,4476,3803,477,947,4887,3050,1573,2008,1775,2672,629,2379,2872,6387,2222,594,3385,790,734,2956,468,2997,1501,10985,5718,570,4909,1817,1838,5706,494,4493,734,5660,15580,1921,257,1921,3604,592,2736,275
06-2023,2523,687,3536,2003,17055,3079,1616,1128,815,3918,3153,399,933,4486,2903,1490,1701,1688,2302,596,2182,2555,6156,2060,535,2985,748,620,2610,443,2990,1408,11046,4817,509,4440,1726,1775,5332,489,4096,641,5081,14421,1702,251,1702,3447,616,2446,254
07-2023,2343,743,3318,1965,18475,3430,1712,1081,685,4114,3424,412,954,4779,3061,1426,1853,1824,2303,633,2063,2895,6191,2119,503,3126,874,712,2566,524,3184,1419,10993,4643,540,4392,1973,1924,5710,534,3990,701,5152,14842,1744,265,1744,3691,625,2736,276
08-2023,2505,717,3761,2226,19168,3395,1715,1091,1045,4234,3615,388,935,4767,2853,1375,1814,1987,2437,637,2317,2736,6372,2030,533,3119,796,967,2690,566,3009,1448,10815,4946,549,4490,1834,1849,5548,532,4509,763,5611,14916,1740,289,1740,3540,531,2670,281
09-2023,2214,688,3571,2043,18324,3244,1532,1133,953,4171,3174,391,915,4535,2768,1496,1749,1906,2574,556,2254,2565,5912,2101,429,2976,792,1044,2513,474,2794,1411,10174,5147,524,4419,1650,1651,5271,456,4407,623,5222,14876,1670,266,1670,3281,527,2651,275
10-2023,2234,639,3432,2016,18641,3138,1598,1119,1007,4489,3460,386,806,4466,2783,1527,1702,1923,2648,635,2590,2703,6217,2193,580,3174,779,1112,2542,473,2838,1298,10712,4891,519,4120,1581,1830,5428,458,4208,638,5305,14969,1602,216,1602,3444,587,2610,253
11-2023,2002,538,3342,1874,15812,2866,1439,980,931,3909,2957,377,888,4118,2663,1328,1546,1806,2367,606,2192,2384,5726,1976,470,3056,710,946,2487,489,2712,1233,10011,4465,487,3624,1509,1502,4578,401,3602,550,4765,13838,1464,195,1464,3108,449,2420,203
12-2023,1941,665,3213,1827,16564,2822,1482,998,1006,25762,2799,217,901,4072,2470,1279,1540,1798,2130,517,2190,2400,5645,1967,428,2721,729,932,2382,463,2722,1293,9637,4444,399,3744,1445,1512,4588,460,3566,641,4858,13782,1565,235,1565,3119,508,2629,269
01-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
