Month,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Utah,Washington,West Virginia,Wisconsin,Wyoming
06-2016,4338,794,3302,1955,19307,2918,1920,1255,1265,17310,5037,665,1001,311,2539,1459,2155,1991,3127,697,3951,3228,5421,2162,902,4279,553,1287,1995,585,3028,1029,7582,6886,465,4954,1690,1719,6587,552,4264,634,6451,18227,1381,164,1381,3721,900,2399,302
07-2016,4524,760,3479,2033,18424,2948,2085,1230,1101,0,4904,727,991,254,2530,1487,1510,1918,3265,805,3621,3362,5459,2190,959,4119,644,1327,2008,662,3078,1030,7840,6706,479,4760,1749,1736,6376,521,4215,725,6035,17753,1474,259,1474,3849,888,2427,309
08-2016,4407,720,3351,1876,19461,2987,1976,1272,1086,0,5112,689,1010,312,2790,1441,1727,2073,3071,780,3797,3192,5661,2078,970,3999,557,1669,2084,674,2987,1117,7647,6499,498,4963,1799,1782,6332,513,4259,719,6520,18276,1299,250,1299,3720,925,2378,314
09-2016,4230,688,3408,1930,18880,2925,1919,1152,1133,0,4866,727,908,209,2404,1537,2170,1738,3069,628,4525,2861,5177,1990,919,4128,516,1412,2031,660,2877,1011,7063,6217,478,4535,1773,1636,6316,450,4200,700,6441,18075,1476,198,1476,3606,823,2397,324
10-2016,4240,665,3353,1840,18045,2947,1930,1208,1165,0,4944,695,833,288,2293,1447,1441,1857,3109,583,4196,2848,5071,2032,851,3909,529,1409,2000,590,2892,1044,7049,6326,513,4444,1807,1615,6034,481,3949,675,6238,18208,1302,198,1302,3454,723,2360,321
11-2016,3606,702,3182,1659,17309,2572,1716,1061,976,0,4500,429,876,180,2305,1166,1317,1797,2799,559,3789,2732,4765,1835,867,3555,540,1240,1749,569,2769,906,6376,6050,385,4082,1624,1555,5854,428,3768,584,5986,16321,1321,168,1321,3283,680,2150,255
12-2016,3601,732,3384,1659,17108,2639,1811,1037,1067,132993,4408,412,835,329,2062,1220,1975,1870,2842,618,3955,2599,4417,1903,746,3571,607,1235,1863,567,2756,928,6380,4989,397,3801,1560,1510,5144,410,3773,634,5728,16663,1342,189,1342,3467,727,2162,257
01-2017,3952,738,3731,1751,17934,2892,1850,1009,680,25,4328,487,915,285,2611,1336,1503,1985,2971,608,3828,2834,4667,2016,848,3693,543,1236,2065,627,2611,1093,6850,6941,484,4382,1560,1566,5789,479,4119,622,6285,18639,1273,216,1273,3398,822,2469,285
02-2017,3667,640,3220,1609,15910,2574,1592,989,845,20,3972,391,874,272,2146,1236,1338,2129,2857,592,3750,2417,4191,1813,791,3488,544,1110,1786,591,2257,1047,5945,5621,354,4025,1496,1474,5444,386,3826,590,5911,16640,1242,201,1242,3033,735,2130,305
03-2017,4454,712,3875,1725,18804,2913,1880,1100,1017,16,4473,500,901,276,2398,1412,2307,1994,3354,575,4026,2645,4754,2042,837,3868,625,1182,2030,612,2490,1134,6664,6793,437,4322,1730,1638,5845,464,4289,638,6309,18552,1325,198,1325,3765,720,2376,375
04-2017,4531,763,4034,1830,18564,2950,1888,1140,1146,26,4526,515,891,237,2322,1346,1453,2062,3064,585,3928,2861,4886,2038,843,3765,566,1158,2109,636,2662,1225,6642,6186,433,4769,1759,1593,6152,511,4135,681,6585,18356,1226,228,1226,3563,789,2433,251
05-2017,4596,755,3954,1965,20112,3166,2116,1272,1473,18,4831,505,930,292,2631,1427,1721,2203,3139,660,4251,3005,5391,2108,929,4106,612,1408,2271,760,2827,1280,7368,7062,483,4915,1689,1833,6309,511,4706,687,7223,19604,1232,248,1232,3961,803,2560,311
06-2017,4069,734,3839,1919,19266,3092,2081,1142,1104,21,4418,453,1008,304,2618,1388,2569,2098,2994,721,3852,3029,5484,2144,855,3884,683,1283,2237,702,2895,1242,7399,6288,384,17789,1510,1789,6460,525,4251,653,6509,18239,1452,237,1452,3709,749,2478,264
07-2017,4551,782,3706,1977,18771,3328,2210,1250,1131,23,4444,485,1075,342,2695,1524,1618,2018,2923,885,3730,3200,5568,2137,866,3820,719,1582,2367,697,2900,1283,7453,6462,430,5049,1745,1874,6186,541,4372,717,6841,18132,1477,306,1477,3814,758,2826,316
