cup_unit_lookup,
code,unit
1,pounds
2,fluid ounces
,
price_unit_look_up,
code,unit
1,per pound
2,per pint
,
form_lookup,
code,form
1,Canned
2,Juice
3,Fresh
4,Dried
5,Frozen
